Num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
HR,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST,POST
WT,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,POST,POST,POST,POST,POST,POST,POST,POST,POST,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,PRE,POST,POST,POST,POST,POST,POST,POST,POST,POST
Sal,LOW,LOW,LOW,MOD,MOD,MOD,HIGH,HIGH,HIGH,LOW,LOW,LOW,MOD,MOD,MOD,HIGH,HIGH,HIGH,LOW,LOW,LOW,MOD,MOD,MOD,HIGH,HIGH,HIGH,LOW,LOW,LOW,MOD,MOD,MOD,HIGH,HIGH,HIGH
Chl,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH
