Num,1,2,3,4,5,6,7,8,9,10,11,12
HR,PRE,PRE,PRE,PRE,PRE,PRE,POST,POST,POST,POST,POST,POST
WT,PRE,PRE,PRE,POST,POST,POST,PRE,PRE,PRE,POST,POST,POST
Sal,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH,LOW,MOD,HIGH
